disease,sex,ageClass,burdenType,value
CVD,M,ageClass7,daly,3450.33780937
CVD,M,ageClass8,daly,3059.5377469
CVD,F,ageClass1,deaths,0.4
CVD,F,ageClass2,deaths,0.4
CVD,F,ageClass3,deaths,2
CVD,F,ageClass4,deaths,13.6
CVD,F,ageClass5,deaths,65.8
CVD,F,ageClass6,deaths,123.2
CVD,F,ageClass7,deaths,183.2
CVD,F,ageClass8,deaths,816.2
CVD,M,ageClass1,deaths,1
CVD,M,ageClass2,deaths,0.6
CVD,M,ageClass3,deaths,7
CVD,M,ageClass4,deaths,35.6
CVD,M,ageClass5,deaths,242.8
CVD,M,ageClass6,deaths,343.8
CVD,M,ageClass7,deaths,375.4
CVD,M,ageClass8,deaths,794.8
CVD,F,ageClass1,yld,1.157927058
CVD,F,ageClass2,yld,3.175474772
CVD,F,ageClass3,yld,94.820290969
CVD,F,ageClass4,yld,246.594517537
CVD,F,ageClass5,yld,329.478993
CVD,F,ageClass6,yld,382.39909307
CVD,F,ageClass7,yld,290.52992572
CVD,F,ageClass8,yld,333.82412312
CVD,M,ageClass1,yld,2.680781067
CVD,M,ageClass2,yld,11.469707635
CVD,M,ageClass3,yld,103.000716242
CVD,M,ageClass4,yld,174.988198942
CVD,M,ageClass5,yld,589.7502414
CVD,M,ageClass6,yld,665.66406984
CVD,M,ageClass7,yld,489.60813647
CVD,M,ageClass8,yld,412.81110546
CVD,F,ageClass1,yll,33.67846345
CVD,F,ageClass2,yll,30.77402854
CVD,F,ageClass3,yll,116.94253079
CVD,F,ageClass4,yll,564.91218566
CVD,F,ageClass5,yll,1715.74145532
CVD,F,ageClass6,yll,1986.70410301
CVD,F,ageClass7,yll,1693.81824571
CVD,F,ageClass8,yll,2822.6674215
CVD,M,ageClass1,yll,82.66815664
CVD,M,ageClass2,yll,43.10001515
CVD,M,ageClass3,yll,398.53503711
CVD,M,ageClass4,yll,1410.63179827
CVD,M,ageClass5,yll,5793.7763238
CVD,M,ageClass6,yll,4901.9622488
CVD,M,ageClass7,yll,2960.72967227
CVD,M,ageClass8,yll,2646.7266416
Dementia,F,ageClass1,daly,16.71439946
Dementia,F,ageClass2,daly,0
Dementia,F,ageClass3,daly,0
Dementia,F,ageClass4,daly,22.51305286
Dementia,F,ageClass5,daly,542.8679448
Dementia,F,ageClass6,daly,1660.224061
Dementia,F,ageClass7,daly,3606.676866
Dementia,F,ageClass8,daly,12574.14702
Dementia,M,ageClass1,daly,32.66544174
Dementia,M,ageClass2,daly,15.55592292
Dementia,M,ageClass3,daly,10.797668
Dementia,M,ageClass4,daly,37.90199473
Dementia,M,ageClass5,daly,447.9258371
Dementia,M,ageClass6,daly,1144.376382
Dementia,M,ageClass7,daly,2495.665918
Dementia,M,ageClass8,daly,6037.971223
Dementia,F,ageClass1,deaths,0.2
Dementia,F,ageClass2,deaths,0
Dementia,F,ageClass3,deaths,0
Dementia,F,ageClass4,deaths,0.4
Dementia,F,ageClass5,deaths,8.4
Dementia,F,ageClass6,deaths,42.2
Dementia,F,ageClass7,deaths,203
Dementia,F,ageClass8,deaths,1795
Dementia,M,ageClass1,deaths,0.4
Dementia,M,ageClass2,deaths,0.2
Dementia,M,ageClass3,deaths,0.2
Dementia,M,ageClass4,deaths,0.8
Dementia,M,ageClass5,deaths,9.2
Dementia,M,ageClass6,deaths,37.8
Dementia,M,ageClass7,deaths,167.4
Dementia,M,ageClass8,deaths,797.8
Dementia,F,ageClass1,yld,0
Dementia,F,ageClass2,yld,0
Dementia,F,ageClass3,yld,0
Dementia,F,ageClass4,yld,3.800833678
Dementia,F,ageClass5,yld,331.977056
Dementia,F,ageClass6,yld,1000.235043
Dementia,F,ageClass7,yld,1816.141745
Dementia,F,ageClass8,yld,6530.388929
Dementia,M,ageClass1,yld,0
Dementia,M,ageClass2,yld,0
Dementia,M,ageClass3,yld,0
Dementia,M,ageClass4,yld,3.313280724
Dementia,M,ageClass5,yld,244.1578827
Dementia,M,ageClass6,yld,631.2235852
Dementia,M,ageClass7,yld,1240.077196
Dementia,M,ageClass8,yld,3526.962362
Dementia,F,ageClass1,yll,16.71439946
Dementia,F,ageClass2,yll,0
Dementia,F,ageClass3,yll,0
Dementia,F,ageClass4,yll,18.71221918
Dementia,F,ageClass5,yll,210.8908888
Dementia,F,ageClass6,yll,659.989018
Dementia,F,ageClass7,yll,1790.535121
Dementia,F,ageClass8,yll,6043.75809
Dementia,M,ageClass1,yll,32.66544174
Dementia,M,ageClass2,yll,15.55592292
Dementia,M,ageClass3,yll,10.797668
Dementia,M,ageClass4,yll,34.58871401
Dementia,M,ageClass5,yll,203.7679544
Dementia,M,ageClass6,yll,513.1527964
Dementia,M,ageClass7,yll,1255.588722
Dementia,M,ageClass8,yll,2511.008861
Depression,F,ageClass1,daly,0.849339461
Depression,F,ageClass2,daly,875.6572554
Depression,F,ageClass3,daly,6656.584634
Depression,F,ageClass4,daly,5161.680115
Depression,F,ageClass5,daly,5329.604067
Depression,F,ageClass6,daly,2586.745067
Depression,F,ageClass7,daly,1188.199033
Depression,F,ageClass8,daly,985.202835
Depression,M,ageClass1,daly,0.514823139
Depression,M,ageClass2,daly,865.3095504
Depression,M,ageClass3,daly,2613.348456
Depression,M,ageClass4,daly,3194.680356
Depression,M,ageClass5,daly,3048.39467
Depression,M,ageClass6,daly,1400.505684
Depression,M,ageClass7,daly,589.0865959
Depression,M,ageClass8,daly,349.4669437
Depression,F,ageClass1,deaths,0
Depression,F,ageClass2,deaths,0
Depression,F,ageClass3,deaths,0
Depression,F,ageClass4,deaths,0
Depression,F,ageClass5,deaths,1.4
Depression,F,ageClass6,deaths,1
Depression,F,ageClass7,deaths,1.8
Depression,F,ageClass8,deaths,5.6
Depression,M,ageClass1,deaths,0
Depression,M,ageClass2,deaths,0
Depression,M,ageClass3,deaths,0
Depression,M,ageClass4,deaths,0.2
Depression,M,ageClass5,deaths,0.6
Depression,M,ageClass6,deaths,0.6
Depression,M,ageClass7,deaths,1.4
Depression,M,ageClass8,deaths,1.2
Depression,F,ageClass1,yld,0.849339461
Depression,F,ageClass2,yld,875.6572554
Depression,F,ageClass3,yld,6656.584634
Depression,F,ageClass4,yld,5161.680115
Depression,F,ageClass5,yld,5292.834041
Depression,F,ageClass6,yld,2572.226033
Depression,F,ageClass7,yld,1170.926529
