disease,sex,dproj,yll,yld,daly
RespiratoryDisease,F,180.2479949741,2612.8720281812,1110.3124117356,3723.1815647047
RespiratoryDisease,F,830.3058779892,4546.4300260933,1786.8852010339,6333.301791625
RTIs,M,9.6474465282,809.8849730392,11.2383784091,821.1225983174
RTIs,M,15.0255372542,1135.1489153941,181.7153293431,1316.8618425137
RTIs,M,83.2704615565,5318.9509602757,399.4353555115,5718.3812347313
RTIs,M,66.1366217301,3239.6390603559,803.8929246332,4043.5378011713
RTIs,M,73.6755112537,2578.4837725963,871.7276779244,3450.206735816
RTIs,M,33.9250028563,799.1076715036,359.702957097,1158.8106286005
RTIs,M,20.2179309952,300.0595229813,140.2524189117,440.3119418929
RTIs,M,19.1899006056,122.1473369827,57.6744693225,179.821380767
RTIs,F,7.4305578554,624.9930057899,6.347771512,631.3413233938
RTIs,F,9.9313786228,754.4849779477,98.7440137809,853.2287730899
RTIs,F,29.4702045015,1904.9363963637,201.4375948605,2106.3705084947
RTIs,F,20.2179309952,982.3086277318,302.9393034772,1285.247931209
RTIs,F,27.4141437223,953.6651261351,367.6198611347,1321.2849872699
RTIs,F,15.0777790473,352.4080494972,131.6491629536,484.0581537971
RTIs,F,14.0497486577,207.2552472179,74.8675587001,282.1229000373
RTIs,F,20.9032845883,114.4578260344,55.7577969366,170.2160592127
