disease,sex,ageClass,dproj,yll,yld,daly
Dementia,M,ageClass2,19.28099047,1470.001391,0,1470.001391
Dementia,M,ageClass3,19.22945684,1232.483837,0,1232.483837
Dementia,M,ageClass4,41.36583637,1942.876054,299.8503937,2242.729498
Dementia,M,ageClass5,511.9897963,16454.79992,23437.80136,39892.52276
Dementia,M,ageClass6,2127.895801,48011.38886,35533.80996,83545.29354
Dementia,M,ageClass7,9456.79296,133718.6589,70054.67917,203773.6312
Dementia,M,ageClass8,38188.54247,243076.7029,168826.212,411902.9149
Dementia,F,ageClass1,0,0,0,0
Dementia,F,ageClass2,14.9209758,1141.433845,0,1141.433845
Dementia,F,ageClass3,13.26394598,851.4484606,0,851.4484606
Dementia,F,ageClass4,31.98433626,1511.554371,344.7912474,1856.343619
Dementia,F,ageClass5,475.0735372,15222.52354,31992.18946,47214.68364
Dementia,F,ageClass6,2084.484105,46912.8444,49406.96796,96319.81236
Dementia,F,ageClass7,11426.43584,159643.3448,102226.7346,261869.7807
Dementia,F,ageClass8,94572.31065,517839.9507,344063.4933,861903.444
Diabetes,M,ageClass1,14.62947536,1243.10417,2938.684123,4181.788293
Diabetes,M,ageClass2,13.30482999,997.2309568,6416.343813,7413.572785
Diabetes,M,ageClass3,239.0411344,14685.73,19532.31009,34218.04009
Diabetes,M,ageClass4,1412.028808,66699.06534,79436.50778,146135.7765
Diabetes,M,ageClass5,6684.583335,223313.5853,190597.5258,413911.2093
Diabetes,M,ageClass6,8336.257145,193191.5232,123205.1747,316396.2243
Diabetes,M,ageClass7,9972.303391,147036.5084,85592.00741,232629.0044
Diabetes,M,ageClass8,13588.56593,86493.5465,51844.81997,138338.3665
Diabetes,F,ageClass1,13.05148862,1109.881129,2456.162704,3566.033353
Diabetes,F,ageClass2,13.98410222,1049.795661,5852.554685,6902.340456
Diabetes,F,ageClass3,177.8442953,10947.62911,17390.36292,28337.96231
Diabetes,F,ageClass4,911.8694907,43161.19893,67533.39562,110694.4646
Diabetes,F,ageClass5,4578.90949,152023.07,174140.4111,326163.0897
Diabetes,F,ageClass6,6758.352847,155698.213,125839.5926,281537.2325
Diabetes,F,ageClass7,9923.154526,144649.372,102622.3088,247271.6808
Diabetes,F,ageClass8,22351.60356,122388.1889,89072.18158,211460.3704
Depression,M,ageClass1,0,0,55.9606171,55.9606171
Depression,M,ageClass2,0,0,87164.61477,87164.61477
Depression,M,ageClass3,0,0,258703.9002,258703.9002
Depression,M,ageClass4,0,0,288361.9593,288361.9593
Depression,M,ageClass5,0,0,291442.8825,291442.8825
Depression,M,ageClass6,0,0,102534.561,102534.561
Depression,M,ageClass7,0,0,48457.02292,48457.02292
Depression,M,ageClass8,0,0,29506.46872,29506.46872
Depression,F,ageClass1,0,0,92.71428918,92.71428918
Depression,F,ageClass2,0,0,139231.9076,139231.9076
Depression,F,ageClass3,0,0,401648.6585,401648.6585
Depression,F,ageClass4,0,0,468239.938,468239.938
Depression,F,ageClass5,0,0,510063.4104,510063.4104
Depression,F,ageClass6,0,0,193974.9301,193974.9301
Depression,F,ageClass7,0,0,106012.5743,106012.5743
Depression,F,ageClass8,0,0,92457.41071,92457.41071
LungCancer,M,ageClass1,0,0,0,0
LungCancer,M,ageClass2,0,0,0,0
LungCancer,M,ageClass3,48.97314874,3010.392024,19.48330726,3029.869087
LungCancer,M,ageClass4,981.847953,44924.83333,337.0814084,45261.88759
LungCancer,M,ageClass5,14914.44696,489775.84,4630.897836,494405.5757
LungCancer,M,ageClass6,25004.50887,577203.8239,7252.011369,584455.8732
LungCancer,M,ageClass7,27360.44473,406350.0688,7043.32237,413393.3033
LungCancer,M,ageClass8,21186.96056,134858.7168,4478.478623,139336.8917
LungCancer,F,ageClass1,0,0,0,0
LungCancer,F,ageClass2,0,0,0,0
LungCancer,F,ageClass3,37.90056598,2316.127585,23.2626639,2339.395006
LungCancer,F,ageClass4,979.9146824,44863.01831,367.0231451,45230.07034
LungCancer,F,ageClass5,11227.24276,371615.4608,3885.379544,375501.1261
LungCancer,F,ageClass6,18250.03,420561.0319,5915.922409,426476.41
LungCancer,F,ageClass7,20820.72408,308219.1785,5934.010434,314152.7906
LungCancer,F,ageClass8,19008.45995,104083.0271,4209.829679,108292.6014
InflammatoryHD,M,ageClass1,152.5338332,12989.93164,225.6274771,13215.59108
InflammatoryHD,M,ageClass2,60.68911128,4566.878274,894.9312646,5461.805599
InflammatoryHD,M,ageClass3,562.4801196,35191.9558,3829.287607,39021.27214
InflammatoryHD,M,ageClass4,1488.647448,71031.92066,4657.871931,75689.84953
InflammatoryHD,M,ageClass5,4049.566931,138014.4154,7751.755669,145766.1897
InflammatoryHD,M,ageClass6,3532.485887,82049.06582,5087.219726,87136.38405
InflammatoryHD,M,ageClass7,4416.006363,64677.06024,4297.636445,68974.70353
InflammatoryHD,M,ageClass8,7839.813326,49901.81144,4070.398326,53972.247
InflammatoryHD,F,ageClass1,132.4643358,11276.6398,99.92838028,11376.56242
InflammatoryHD,F,ageClass2,43.56191621,3312.958259,368.7492485,3681.704659
InflammatoryHD,F,ageClass3,197.4411339,12347.89596,1585.58198,13933.46876
InflammatoryHD,F,ageClass4,604.8499128,28811.83023,2447.974582,31259.89246
InflammatoryHD,F,ageClass5,1727.554315,58568.6467,4895.49321,63464.09177
InflammatoryHD,F,ageClass6,1826.729194,42217.14778,3765.824786,45982.93437
InflammatoryHD,F,ageClass7,2796.979047,40552.59349,3394.855695,43947.43026
InflammatoryHD,F,ageClass8,9421.734169,51589.64573,4615.30127,56204.97765
RespiratoryDisease,M,ageClass1,572.7774022,48797.94765,20127.13106,68925.11304
RespiratoryDisease,M,ageClass2,155.3285409,11788.57512,173158.9785,184947.4628
RespiratoryDisease,M,ageClass3,551.9154574,34721.38171,213531.2832,248252.6543
RespiratoryDisease,M,ageClass4,1452.330032,68667.71285,229209.3239,297877.0091
RespiratoryDisease,M,ageClass5,8662.132965,286618.0819,332150.6463,618768.484
RespiratoryDisease,M,ageClass6,17131.70015,392183.5627,203468.4812,595652.5816
RespiratoryDisease,M,ageClass7,32101.65953,466733.2814,151424.5089,618157.1587
RespiratoryDisease,M,ageClass8,64259.85696,409025.2877,110389.0023,519414.7897
RespiratoryDisease,F,ageClass1,424.1411876,36104.6273,17692.23784,53796.85172
RespiratoryDisease,F,ageClass2,123.8896953,9409.952101,166238.4877,175648.4744
RespiratoryDisease,F,ageClass3,412.0603829,25924.52391,202299.8147,228224.3705
RespiratoryDisease,F,ageClass4,1348.330854,63572.44881,221625.7424,285198.2331
RespiratoryDisease,F,ageClass5,7689.107707,255064.3275,344659.0687,599723.3866
RespiratoryDisease,F,ageClass6,15471.55232,353701.3055,224313.8842,578014.0321
RespiratoryDisease,F,ageClass7,29830.83098,432427.2448,183755.3971,616182.166
RespiratoryDisease,F,ageClass8,87873.71986,481162.0983,189111.3308,670272.0072
RTIs,F,ageClass1,8.05812567259398,678.974664025915,7.360598512464,686.335262711588
RTIs,F,ageClass2,16.2995803147066,1245.38334211807,130.58461916551,1375.96796049081
RTIs,F,ageClass3,115.195334928847,7459.4001810468,1473.8905806165,8933.29073301202
RTIs,F,ageClass4,69.7730558520525,3426.11889547198,2400.3920655223,5826.51094847345
RTIs,F,ageClass5,80.8940402379196,2867.63434901459,3630.1868496238,6497.8212968401
RTIs,F,ageClass6,70.6973544307499,1679.72710916043,2952.5793654624,4632.30646977807
RTIs,F,ageClass7,92.2386522851357,1379.87231854933,2311.1359168098,3691.00815896076
RTIs,F,ageClass8,167.039651548611,950.513322821276,2222.135929002,3172.64926252162
RTIs,M,ageClass1,10.5818329120076,890.388640563643,8.73930570932,899.127946054126
RTIs,M,ageClass2,26.0987535392923,1986.39849859044,268.31202597798,2254.71052241401
RTIs,M,ageClass3,509.335968159979,32687.0425261588,3638.1299706235,36325.1724908091
RTIs,M,ageClass4,330.629462960095,16279.9476493721,6054.2591919321,22334.2067514877
RTIs,M,ageClass5,282.755033392461,10128.929266071,8568.071221519,18697.0005482474
RTIs,M,ageClass6,161.704950609035,3878.7471527931,6129.8016739,10008.548827725
RTIs,M,ageClass7,147.843669137312,2250.62246701798,3978.5782619735,6229.20063329658
RTIs,M,ageClass8,188.02327833361,1209.9689577573,2437.8145648079,3647.78349479314
