"disease","sex","ageClass","burdenType","value"
"ColonCancer","M","ageClass5","yld",28.0206314102402
"ColonCancer","M","ageClass5","yll",506.183815103676
"ColonCancer","M","ageClass6","daly",358.683594720938
"ColonCancer","M","ageClass6","deaths",19.1532037333836
"ColonCancer","M","ageClass6","yld",25.011377278233
"ColonCancer","M","ageClass6","yll",333.672217442705
"ColonCancer","M","ageClass7","daly",241.640212032338
"ColonCancer","M","ageClass7","deaths",20.7680772536418
"ColonCancer","M","ageClass7","yld",23.4006179525836
"ColonCancer","M","ageClass7","yll",218.239594079754
"ColonCancer","M","ageClass8","daly",127.756655656164
"ColonCancer","M","ageClass8","deaths",22.3873837395766
"ColonCancer","M","ageClass8","yld",18.5274820666286
"ColonCancer","M","ageClass8","yll",109.229173589535
"CVD","F","ageClass1","daly",0.122846605444177
"CVD","F","ageClass1","deaths",0
"CVD","F","ageClass1","yld",0.122846605444177
"CVD","F","ageClass1","yll",0
"CVD","F","ageClass2","daly",0.657419592867616
"CVD","F","ageClass2","deaths",0
"CVD","F","ageClass2","yld",0.657419592867616
"CVD","F","ageClass2","yll",0
"CVD","F","ageClass3","daly",44.7460457265319
"CVD","F","ageClass3","deaths",0.384831556498182
"CVD","F","ageClass3","yld",21.484055664575
"CVD","F","ageClass3","yll",23.2619900619569
"CVD","F","ageClass4","daly",272.037151476749
"CVD","F","ageClass4","deaths",3.64198944047114
"CVD","F","ageClass4","yld",116.583996551265
"CVD","F","ageClass4","yll",155.453154925484
"CVD","F","ageClass5","daly",745.235830190422
"CVD","F","ageClass5","deaths",21.0953865066988
"CVD","F","ageClass5","yld",117.505244026667
"CVD","F","ageClass5","yll",627.730586163754
"CVD","F","ageClass6","daly",1075.11956467805
"CVD","F","ageClass6","deaths",46.1106821328893
"CVD","F","ageClass6","yld",149.359887602429
"CVD","F","ageClass6","yll",925.759677075624
"CVD","F","ageClass7","daly",938.607519507931
"CVD","F","ageClass7","deaths",68.103214367268
"CVD","F","ageClass7","yld",112.591404225918
"CVD","F","ageClass7","yll",826.016115282013
"CVD","F","ageClass8","daly",1694.62522590674
"CVD","F","ageClass8","deaths",320.100594225104
"CVD","F","ageClass8","yld",127.848778144841
"CVD","F","ageClass8","yll",1566.7764477619
"CVD","M","ageClass1","daly",0.305674914467634
"CVD","M","ageClass1","deaths",0
"CVD","M","ageClass1","yld",0.305674914467634
"CVD","M","ageClass1","yll",0
"CVD","M","ageClass2","daly",1.2532306720785
"CVD","M","ageClass2","deaths",0
"CVD","M","ageClass2","yld",1.2532306720785
"CVD","M","ageClass2","yll",0
"CVD","M","ageClass3","daly",126.18963761701
"CVD","M","ageClass3","deaths",1.73420778860899
"CVD","M","ageClass3","yld",31.4339114136454
"CVD","M","ageClass3","yll",94.7557262033643
"CVD","M","ageClass4","daly",487.793169417032
"CVD","M","ageClass4","deaths",10.6287716495771
"CVD","M","ageClass4","yld",50.1061012203614
"CVD","M","ageClass4","yll",437.68706819667
"CVD","M","ageClass5","daly",2912.29863484719
"CVD","M","ageClass5","deaths",98.437587128824
"CVD","M","ageClass5","yld",245.095892637545
"CVD","M","ageClass5","yll",2667.20274220965
"CVD","M","ageClass6","daly",2886.70269611227
"CVD","M","ageClass6","deaths",148.727528990289
"CVD","M","ageClass6","yld",295.372222380361
"CVD","M","ageClass6","yll",2591.33047373191
"CVD","M","ageClass7","daly",1678.43561379221
"CVD","M","ageClass7","deaths",145.071127874704
"CVD","M","ageClass7","yld",191.585232774359
"CVD","M","ageClass7","yll",1486.85038101785
"CVD","M","ageClass8","daly",1530.59030412469
"CVD","M","ageClass8","deaths",297.041432809493
"CVD","M","ageClass8","yld",153.824762542911
"CVD","M","ageClass8","yll",1376.76554158178
"Dementia","F","ageClass1","daly",0
"Dementia","F","ageClass1","deaths",0
"Dementia","F","ageClass1","yld",0
"Dementia","F","ageClass1","yll",0
"Dementia","F","ageClass2","daly",0
"Dementia","F","ageClass2","deaths",0
"Dementia","F","ageClass2","yld",0
"Dementia","F","ageClass2","yll",0
"Dementia","F","ageClass3","daly",0
"Dementia","F","ageClass3","deaths",0
"Dementia","F","ageClass3","yld",0
"Dementia","F","ageClass3","yll",0
"Dementia","F","ageClass4","daly",10.3790665442347
"Dementia","F","ageClass4","deaths",0.182099472023557
"Dementia","F","ageClass4","yld",2.0177507669066
"Dementia","F","ageClass4","yll",8.36131577732805
"Dementia","F","ageClass5","daly",247.364630585817
"Dementia","F","ageClass5","deaths",3.09156526391276
"Dementia","F","ageClass5","yld",158.254924661376
"Dementia","F","ageClass5","yll",89.1097059244402
"Dementia","F","ageClass6","daly",780.063268039062
"Dementia","F","ageClass6","deaths",18.060017168715
"Dementia","F","ageClass6","yld",428.06308166619
"Dementia","F","ageClass6","yll",352.000186372872
"Dementia","F","ageClass7","daly",1863.88073109813
"Dementia","F","ageClass7","deaths",90.5372143941328
"Dementia","F","ageClass7","yld",809.992189951811
"Dementia","F","ageClass7","yll",1053.88854114632
"Dementia","F","ageClass8","daly",6752.69200335421
"Dementia","F","ageClass8","deaths",802.327609699834
"Dementia","F","ageClass8","yld",2918.94782171922
"Dementia","F","ageClass8","yll",3833.744181635
"Dementia","M","ageClass1","daly",0
"Dementia","M","ageClass1","deaths",0
"Dementia","M","ageClass1","yld",0
"Dementia","M","ageClass1","yll",0
"Dementia","M","ageClass2","daly",13.62243832776
"Dementia","M","ageClass2","deaths",0.186351461771697
"Dementia","M","ageClass2","yld",0
"Dementia","M","ageClass2","yll",13.62243832776
"Dementia","M","ageClass3","daly",10.2128302114356
"Dementia","M","ageClass3","deaths",0.192689754289888
"Dementia","M","ageClass3","yld",0
"Dementia","M","ageClass3","yll",10.2128302114356
"Dementia","M","ageClass4","daly",19.3511165461596
"Dementia","M","ageClass4","deaths",0.366509367226797
"Dementia","M","ageClass4","yld",1.76994001439053
"Dementia","M","ageClass4","yll",17.5811765317691
"Dementia","M","ageClass5","daly",216.169604043099
"Dementia","M","ageClass5","deaths",3.97362737033785
"Dementia","M","ageClass5","yld",117.729283058644
"Dementia","M","ageClass5","yll",98.4403209844548
"Dementia","M","ageClass6","daly",607.255267872716
"Dementia","M","ageClass6","deaths",18.1375035354012
"Dementia","M","ageClass6","yld",302.878836209324
"Dementia","M","ageClass6","yll",304.376431663392
"Dementia","M","ageClass7","daly",1279.11848559708
"Dementia","M","ageClass7","deaths",74.3439297972858
"Dementia","M","ageClass7","yld",550.730059549548
"Dementia","M","ageClass7","yll",728.388426047528
"Dementia","M","ageClass8","daly",3000.99114299826
"Dementia","M","ageClass8","deaths",339.801715843489
"Dementia","M","ageClass8","yld",1502.21592183136
"Dementia","M","ageClass8","yll",1498.77522116689
"Depression","F","ageClass1","daly",0.430260729846937
"Depression","F","ageClass1","deaths",0
"Depression","F","ageClass1","yld",0.430260729846937
"Depression","F","ageClass1","yll",0
"Depression","F","ageClass2","daly",672.251852587742
"Depression","F","ageClass2","deaths",0
"Depression","F","ageClass2","yld",672.251852587742
"Depression","F","ageClass2","yll",0
"Depression","F","ageClass3","daly",2086.45824380472
"Depression","F","ageClass3","deaths",0
"Depression","F","ageClass3","yld",2086.45824380472
"Depression","F","ageClass3","yll",0
"Depression","F","ageClass4","daly",2740.18410013318
"Depression","F","ageClass4","deaths",0
"Depression","F","ageClass4","yld",2740.18410013318
"Depression","F","ageClass4","yll",0
"Depression","F","ageClass5","daly",2533.75874852355
"Depression","F","ageClass5","deaths",0.363713560460325
"Depression","F","ageClass5","yld",2523.11729718859
"Depression","F","ageClass5","yll",10.6414513349649
"Depression","F","ageClass6","daly",1187.72806231927
"Depression","F","ageClass6","deaths",0.384255684440744
"Depression","F","ageClass6","yld",1180.73411701518
"Depression","F","ageClass6","yll",6.99394530409763
"Depression","F","ageClass7","daly",529.21971650584
"Depression","F","ageClass7","deaths",0.801214286673741
"Depression","F","ageClass7","yld",519.332427746857
"Depression","F","ageClass7","yll",9.8872887589829
"Depression","F","ageClass8","daly",438.721007171276
"Depression","F","ageClass8","deaths",3.39729404248342
"Depression","F","ageClass8","yld",422.423508190675
"Depression","F","ageClass8","yll",16.2974989806015
"Depression","M","ageClass1","daly",0.260084496958988
"Depression","M","ageClass1","deaths",0
"Depression","M","ageClass1","yld",0.260084496958988
"Depression","M","ageClass1","yll",0
"Depression","M","ageClass2","daly",419.4360401011
"Depression","M","ageClass2","deaths",0
"Depression","M","ageClass2","yld",419.4360401011
"Depression","M","ageClass2","yll",0
"Depression","M","ageClass3","daly",1277.20446965267
"Depression","M","ageClass3","deaths",0
"Depression","M","ageClass3","yld",1277.20446965267
"Depression","M","ageClass3","yll",0
"Depression","M","ageClass4","daly",1702.12673118958
"Depression","M","ageClass4","deaths",0
"Depression","M","ageClass4","yld",1702.12673118958
"Depression","M","ageClass4","yll",0
"Depression","M","ageClass5","daly",1472.58054201939
"Depression","M","ageClass5","deaths",0.361238851848895
"Depression","M","ageClass5","yld",1463.93260528238
"Depression","M","ageClass5","yll",8.64793673700833
"Depression","M","ageClass6","daly",632.395519309719
"Depression","M","ageClass6","deaths",0.190921089846328
"Depression","M","ageClass6","yld",629.455943946205
"Depression","M","ageClass6","yll",2.93957536351466
"Depression","M","ageClass7","daly",254.573210881218
"Depression","M","ageClass7","deaths",1.00464769996332
"Depression","M","ageClass7","yld",245.096303222575
"Depression","M","ageClass7","yll",9.47690765864314
"Depression","M","ageClass8","daly",142.966185592174
"Depression","M","ageClass8","deaths",0.570137107119949
"Depression","M","ageClass8","yld",139.80579169761
"Depression","M","ageClass8","yll",3.16039389456382
"Diabetes","F","ageClass1","daly",11.3983547412526
