ageClass,sex,value
ageClass1,M,86619
ageClass2,M,180328
ageClass3,M,270883
ageClass4,M,297001
ageClass5,M,269930
ageClass6,M,138115
ageClass7,M,62589
ageClass8,M,32909
ageClass1,F,82259
ageClass2,F,172174
ageClass3,F,267239
ageClass4,F,292765
ageClass5,F,274674
ageClass6,F,150248
ageClass7,F,75765
ageClass8,F,56105
